식품명,식품대분류명,에너지(kcal),단백질(g),지방(g),탄수화물(g),당류(g),식이섬유(g),나트륨(mg),포화지방산(g),채소_보너스,Nutri_Score,최종점수
가래떡,빵 및 과자류,205.0,3.92,0.51,46.11,0.03,0.65,241.0,0.19,0,C,-1.0
가오리찜,찜류,65.5,12.34,1.12,1.99,0.38,1.85,139.0,0.2,0,A,-7.0
가오리콩나물찜,찜류,29.0,2.68,0.84,3.5,0.69,1.3,111.0,0.15,0,B,-2.0
가오리회무침,생채·무침류,47.0,4.7,0.47,6.47,3.54,1.3,164.0,0.09,5,A,-8.0
가자미 매운탕,찌개 및 전골류,31.0,4.45,0.82,1.45,0.37,0.55,121.5,0.14,0,B,-2.0
가자미구이,구이류,138.5,16.7,6.44,1.01,0.0,0.1,303.0,1.16,0,B,-3.0
가자미식해,젓갈류,134.0,11.09,4.81,11.64,3.71,4.1,685.0,0.7,0,B,-3.0
가자미조림,조림류,99.0,12.37,2.52,7.0,2.53,1.7,564.0,0.43,0,C,-1.0
가자미찜,찜류,77.5,11.75,1.95,2.73,0.77,0.7,344.5,0.34,0,B,-3.0
가자미튀김,튀김류,159.5,12.9,9.45,4.22,0.0,0.15,486.5,1.5,0,C,-1.0
가죽나물무침,생채·무침류,76.0,5.83,1.35,10.05,3.81,6.2,276.0,0.19,5,A,-11.0
가지김치,김치류,36.0,2.1,0.77,6.22,2.45,3.5,1592.0,0.15,5,C,1.0
가지나물,나물·숙채류,34.0,1.24,1.5,4.18,1.89,2.1,228.0,0.22,5,A,-6.0
가지냉국,국 및 탕류,19.0,1.1,0.39,3.42,1.4,1.9,654.0,0.08,0,D,4.0
가지볶음,볶음류,33.0,0.91,1.79,3.76,1.8,1.63,179.67,0.28,1,B,-2.0
가지전,전·적 및 부침류,114.0,3.2,6.13,8.88,0.84,2.2,337.0,1.07,0,B,-2.0
가지찜,찜류,120.0,5.6,6.26,10.22,2.64,2.9,401.5,2.35,0,B,-2.0
